slot,clientId,event,size,amount,recipients
0,650,new-tx,449,13,39
0,3477,new-tx,401,93,4516
0,4784,new-tx,453,1,2400
0,1743,new-tx,243,39,1735
0,598,new-tx,451,25,642
1,628,new-tx,308,1,25
1,4090,new-tx,237,20,4785
1,5555,new-tx,475,4,2895
1,3033,new-tx,910,1,3839
1,8,new-tx,556,2,1869
2,1945,new-tx,1010,10,8
2,4566,new-tx,416,11,4697
2,4433,new-tx,440,19,4434
2,58,new-tx,1709,1,4
2,1779,new-tx,417,2,3631
3,3614,new-tx,1371,3,2570
3,3393,new-tx,1329,18,3449
3,1900,new-tx,427,11,3002
3,1943,new-tx,220,20,3538
3,298,new-tx,388,8,1538
4,4442,new-tx,657,1,4446
4,1786,new-tx,489,13,1198
4,3648,new-tx,1792,16,2116
4,3619,new-tx,494,9,4774
4,681,new-tx,396,3,1685
5,4554,new-tx,430,1,1952
5,491,new-tx,370,13,1859
5,3725,new-tx,1819,6,3850
5,4090,new-tx,411,6,2794
5,2330,new-tx,989,1,2337
6,3270,new-tx,430,1,2358
6,1446,new-tx,596,20,1274
6,1786,new-tx,246,16,5121
6,3618,new-tx,879,3,3674
6,652,new-tx,204,11,3639
7,1952,new-tx,357,11,4561
7,2126,new-tx,945,15,1595
7,1981,new-tx,335,1,3619
7,5678,new-tx,461,1,24
7,5505,new-tx,725,40,5609
8,1328,new-tx,997,7,1267
8,4214,new-tx,268,92,3441
8,1483,new-tx,389,70,4617
8,3619,new-tx,269,3,5196
8,4583,new-tx,431,2,4293
9,620,new-tx,984,2,222
9,156,new-tx,256,5,377
9,24,new-tx,348,1,2663
9,2572,new-tx,499,3,1608
9,24,new-tx,456,7,4590
10,3371,new-tx,284,1,2572
10,128,new-tx,468,9,290
10,5264,new-tx,483,28,2917
10,4090,new-tx,779,5,4785
10,4090,new-tx,348,4,4840
11,4119,new-tx,498,1,3819
11,5310,new-tx,3499,17,4828
11,5427,new-tx,329,32,82
11,2427,new-tx,369,2,2572
11,2729,new-tx,500,14,2738
12,1944,new-tx,936,1,1810
12,2207,new-tx,192,7,1245
12,2125,new-tx,443,50,2028
12,968,new-tx,634,5,1775
12,672,new-tx,5152,15,1323
13,162,new-tx,9882,60,231
13,606,new-tx,508,47,637
13,1716,new-tx,398,9,799
13,4840,new-tx,338,6,3349
13,1043,new-tx,243,50,1298
14,590,new-tx,1053,3,616
14,1981,new-tx,631,46,2244
14,2701,new-tx,456,77,2572
14,3033,new-tx,440,68,3835
14,24,new-tx,1689,53,2905
15,290,new-tx,293,1,728
15,1786,new-tx,219,69,2506
15,653,new-tx,347,1,733
15,3811,new-tx,239,1,2572
15,5594,new-tx,1331,2,1693
16,1323,new-tx,225,11,1746
16,298,new-tx,244,25,2330
16,2011,new-tx,1593,28,2380
16,213,new-tx,922,50,233
16,990,new-tx,273,10,1009
17,404,new-tx,397,2,875
17,4551,new-tx,861,19,4579
17,2572,new-tx,476,73,3283
17,24,new-tx,1027,7,5857
17,2171,new-tx,437,2,1351
18,4208,new-tx,6839,88,4539
18,4774,new-tx,1010,6,4170
18,1403,new-tx,203,8,1532
18,8,new-tx,844,80,705
18,3243,new-tx,722,15,4435
19,3742,new-tx,830,1,2805
19,4435,new-tx,703,13,4922
19,79,new-tx,294,5,103
19,4445,new-tx,219,89,4458
19,4435,new-tx,310,12,3434
20,1786,new-tx,1426,26,2572
20,3794,new-tx,275,4,3014
20,2562,new-tx,374,44,2329
20,663,new-tx,566,21,8
20,1685,new-tx,355,1,17
21,4072,new-tx,859,5,5612
21,2948,new-tx,200,18,2562
21,1991,new-tx,390,39,4896
21,3618,new-tx,978,1,2572
21,857,new-tx,821,0,684
22,2570,new-tx,273,1,3013
22,3079,new-tx,304,4,3232
22,2350,new-tx,381,3,3664
22,4090,new-tx,345,3,505
22,348,new-tx,740,20,345
23,3998,new-tx,10056,17,3639
23,2471,new-tx,201,3,2612
23,3880,new-tx,244,55,3854
23,2329,new-tx,515,32,2562
23,1828,new-tx,647,6,17
24,930,new-tx,488,1,929
24,2448,new-tx,352,5,2437
24,2572,new-tx,341,11,4257
24,1433,new-tx,290,10,1155
24,2570,new-tx,6333,0,3239
25,2603,new-tx,208,8,2604
25,4507,new-tx,825,4,4789
25,337,new-tx,666,53,331
25,3813,new-tx,831,18,500
25,2171,new-tx,416,0,2102
26,4072,new-tx,256,75,2431
26,5142,new-tx,906,8,5866
26,3892,new-tx,6416,42,5285
26,2922,new-tx,499,5,2552
26,1194,new-tx,261,25,1184
27,8,new-tx,321,1,2166
27,94,new-tx,603,4,3339
27,2442,new-tx,834,15,2056
27,3220,new-tx,5894,11,8
27,550,new-tx,3814,23,590
28,4407,new-tx,503,50,5851
28,4791,new-tx,905,23,4379
28,628,new-tx,473,4,1015
28,4029,new-tx,239,47,4175
28,361,new-tx,912,13,401
29,2572,new-tx,908,14,425
29,3562,new-tx,364,5,1800
29,338,new-tx,197,55,237
29,2011,new-tx,1003,7,2083
29,2304,new-tx,371,77,2207
30,348,new-tx,901,16,103
30,4603,new-tx,7191,2,4604
30,110,new-tx,4314,25,156
30,4445,new-tx,2495,14,4329
30,1182,new-tx,426,19,1151
31,486,new-tx,241,13,322
31,1546,new-tx,3953,0,11
31,946,new-tx,461,26,1779
31,103,new-tx,14150,3,79
31,4196,new-tx,552,7,2929
32,266,new-tx,442,18,1095
32,1981,new-tx,398,1,3285
32,885,new-tx,202,6,888
32,103,new-tx,1341,26,119
32,109,new-tx,224,32,543
33,1155,new-tx,218,1,2644
33,3007,new-tx,651,10,1244
33,1981,new-tx,5977,16,2684
33,238,new-tx,1470,25,1170
33,3555,new-tx,263,79,2864
34,5,new-tx,1288,2,1409
34,24,new-tx,8266,10,5754
34,2529,new-tx,588,13,4618
34,5375,new-tx,607,5,5419
34,135,new-tx,466,1,4
35,1943,new-tx,15585,20,8
35,4551,new-tx,229,14,4605
35,1847,new-tx,425,3,3091
35,3196,new-tx,293,1,3215
35,4072,new-tx,431,19,4694
36,1305,new-tx,10809,4,1716
36,2136,new-tx,829,6,3101
36,1323,new-tx,251,39,1685
36,4263,new-tx,730,16,3442
36,1483,new-tx,268,0,1794
37,3249,new-tx,1043,3,2572
37,4263,new-tx,970,7,5058
37,3559,new-tx,284,6,24
37,2250,new-tx,406,3,2116
37,968,new-tx,804,23,3173
38,11,new-tx,353,1,164
38,1900,new-tx,363,20,2876
38,1223,new-tx,541,13,2725
38,1981,new-tx,482,32,2217
38,24,new-tx,7420,36,3233
39,4241,new-tx,319,5,5542
39,3661,new-tx,542,1,3690
39,539,new-tx,6616,0,473
39,4170,new-tx,6141,10,5780
39,569,new-tx,351,43,260
40,301,new-tx,434,9,61
40,435,new-tx,1372,70,1069
40,5154,new-tx,196,13,5298
40,1786,new-tx,7995,6,2264
40,2126,new-tx,253,23,2251
41,4446,new-tx,1771,11,4442
41,4473,new-tx,956,17,3477
41,2116,new-tx,395,28,2137
41,37,new-tx,442,2,1744
41,3879,new-tx,672,2,3566
42,5004,new-tx,208,26,1309
42,1981,new-tx,641,4,1462
42,4029,new-tx,916,8,2011
42,4323,new-tx,251,3,1295
42,2828,new-tx,10988,3,2458
43,1786,new-tx,6252,4,2202
43,2240,new-tx,415,15,2336
43,3489,new-tx,490,11,3477
43,3705,new-tx,245,25,3648
43,1644,new-tx,378,44,128
44,1512,new-tx,500,19,1981
44,3136,new-tx,492,20,3162
44,3802,new-tx,536,3,1943
44,2286,new-tx,16383,1,4216
44,5154,new-tx,1005,2,5299
45,981,new-tx,613,1,660
45,4559,new-tx,1959,20,4600
45,1275,new-tx,1397,30,2207
45,1527,new-tx,5911,61,1633
45,675,new-tx,723,19,687
46,1403,new-tx,949,8,2633
46,3033,new-tx,1664,0,3834
46,1696,new-tx,1777,4,3375
46,4435,new-tx,770,0,678
46,2747,new-tx,471,0,2704
47,5423,new-tx,9301,4,5448
47,1026,new-tx,209,1,914
47,1008,new-tx,1468,32,888
47,2336,new-tx,490,39,4001
47,4933,new-tx,1424,6,4932
48,3346,new-tx,371,0,3638
48,1323,new-tx,224,39,1746
48,1991,new-tx,237,32,3648
48,1727,new-tx,1210,2,2358
48,1338,new-tx,547,72,1305
49,3228,new-tx,319,13,3042
49,2003,new-tx,269,5,1295
49,11,new-tx,209,28,1157
49,2184,new-tx,6797,23,1295
49,2244,new-tx,361,0,2652
50,1565,new-tx,2882,20,4997
50,4786,new-tx,431,4,2028
50,4288,new-tx,222,1,4029
50,4379,new-tx,987,5,1991
50,478,new-tx,1701,33,4072
51,3238,new-tx,374,0,1565
51,3794,new-tx,358,1,3604
51,1746,new-tx,211,3,4079
51,4495,new-tx,316,1,4072
51,231,new-tx,1290,70,1987
52,2149,new-tx,246,2,2231
52,1959,new-tx,395,1,1247
52,1679,new-tx,261,6,4910
52,4436,new-tx,250,77,2495
52,4343,new-tx,758,4,4333
53,11,new-tx,247,20,111
53,3651,new-tx,492,6,3868
53,963,new-tx,875,19,878
53,1268,new-tx,358,7,1117
53,1160,new-tx,413,6,1233
54,3247,new-tx,731,32,2207
54,728,new-tx,482,50,1577
54,2570,new-tx,454,11,2409
54,2699,new-tx,483,34,4184
54,3892,new-tx,921,65,3794
55,5142,new-tx,506,21,3227
55,435,new-tx,825,1,2336
55,1403,new-tx,213,9,1519
55,2239,new-tx,304,1,3117
55,1679,new-tx,881,2,1663
56,11,new-tx,253,11,94
56,2587,new-tx,697,9,3538
56,4090,new-tx,413,3,4211
56,1273,new-tx,601,11,472
56,3562,new-tx,526,8,2752
57,1454,new-tx,210,6,1511
57,3045,new-tx,505,3,3048
57,3083,new-tx,375,1,1900
57,4072,new-tx,711,14,4693
57,4428,new-tx,1216,3,5259
58,4524,new-tx,334,8,4520
58,2089,new-tx,346,4,776
58,793,new-tx,616,6,778
58,5048,new-tx,214,69,4510
58,423,new-tx,321,59,370
59,2457,new-tx,2685,10,809
59,4202,new-tx,7949,0,4090
59,3694,new-tx,361,47,4552
59,946,new-tx,1141,11,436
59,4555,new-tx,321,21,4579
60,4318,new-tx,919,20,4363
60,1170,new-tx,552,5,1268
60,3037,new-tx,655,39,1847
60,4330,new-tx,710,3,2529
60,4329,new-tx,384,6,4284
61,734,new-tx,273,2,1334
61,3117,new-tx,318,0,3111
61,3246,new-tx,1454,5,2572
61,2934,new-tx,4007,0,4629
61,5368,new-tx,284,13,4442
62,2584,new-tx,251,6,2431
62,3626,new-tx,8115,0,4507
62,4257,new-tx,738,98,2239
62,485,new-tx,280,1,460
62,4,new-tx,380,6,2011
63,3383,new-tx,318,0,946
63,4435,new-tx,930,34,1617
63,1160,new-tx,817,20,1344
63,4090,new-tx,257,7,4215
63,2987,new-tx,854,75,2572
64,137,new-tx,1990,2,2310
64,1608,new-tx,1440,3,1459
64,2310,new-tx,559,0,2200
64,1990,new-tx,6906,1,160
64,486,new-tx,654,6,849
65,4693,new-tx,829,7,2070
65,4446,new-tx,805,19,4442
65,1981,new-tx,15392,88,2002
65,3694,new-tx,10839,19,4555
65,2330,new-tx,462,30,4162
66,1207,new-tx,585,24,524
66,3167,new-tx,425,26,24
66,3618,new-tx,424,15,3359
66,885,new-tx,296,60,1977
66,1454,new-tx,401,2,1309
67,11,new-tx,7471,2,843
67,2827,new-tx,455,5,2239
67,1462,new-tx,7957,6,681
67,3870,new-tx,484,15,2572
67,1527,new-tx,1838,15,1540
68,1351,new-tx,788,10,1691
68,1572,new-tx,495,0,2184
68,1981,new-tx,235,28,2689
68,3614,new-tx,394,3,3892
68,24,new-tx,307,20,2582
69,1320,new-tx,492,0,3664
69,4230,new-tx,13213,8,2572
69,1403,new-tx,196,13,2633
69,3349,new-tx,420,1,5300
69,859,new-tx,847,98,868
70,24,new-tx,682,0,1711
70,790,new-tx,3446,7,11
70,4824,new-tx,11686,2,4522
70,538,new-tx,792,1,634
70,2693,new-tx,196,1,2476
71,2072,new-tx,4334,75,5012
71,4,new-tx,453,34,146
71,4154,new-tx,321,2,4317
71,1403,new-tx,258,18,1274
71,79,new-tx,333,15,4
72,1130,new-tx,331,0,1286
72,5169,new-tx,893,11,4636
72,4170,new-tx,591,60,4249
72,4276,new-tx,1079,2,4258
72,2957,new-tx,198,16,5440
73,4761,new-tx,631,15,24
73,4888,new-tx,343,2,852
73,2529,new-tx,541,3,4233
73,2511,new-tx,233,89,1956
73,885,new-tx,355,4,1557
74,5400,new-tx,207,11,2330
74,1503,new-tx,7730,2,24
74,1527,new-tx,5072,20,1636
74,3716,new-tx,490,5,3639
74,1003,new-tx,4368,98,5485
75,2007,new-tx,409,29,1582
75,599,new-tx,832,10,339
75,523,new-tx,3921,11,836
75,3029,new-tx,993,39,24
75,4370,new-tx,325,3,4299
76,24,new-tx,2038,16,2136
76,298,new-tx,1710,22,1981
76,276,new-tx,291,3,1130
76,3695,new-tx,395,13,4553
76,3348,new-tx,448,0,3807
77,946,new-tx,508,1,24
77,213,new-tx,387,7,162
77,1157,new-tx,355,1,2126
77,37,new-tx,380,1,730
77,4049,new-tx,442,2,2024
78,590,new-tx,5382,6,1853
78,2684,new-tx,263,86,17
78,3725,new-tx,311,38,37
78,4522,new-tx,927,2,61
78,1102,new-tx,488,0,1099
79,4435,new-tx,11961,49,1937
79,587,new-tx,2920,1,681
79,2620,new-tx,723,40,2619
79,5387,new-tx,7503,14,5518
79,4072,new-tx,506,0,3778
80,51,new-tx,399,60,257
80,24,new-tx,1812,0,1551
80,3091,new-tx,470,19,3007
80,922,new-tx,474,2,855
80,1430,new-tx,323,61,162
81,4,new-tx,936,14,1496
81,1535,new-tx,247,50,1595
81,4263,new-tx,397,10,2356
81,24,new-tx,438,19,4417
81,177,new-tx,491,6,460
82,3543,new-tx,426,2,2072
82,2529,new-tx,343,65,2684
82,4445,new-tx,424,23,4413
82,3729,new-tx,382,45,24
82,1182,new-tx,252,22,1216
83,1922,new-tx,826,6,1170
83,4170,new-tx,231,1,3626
83,3631,new-tx,1793,13,4890
83,298,new-tx,621,11,1517
83,1685,new-tx,883,1,2039
84,2286,new-tx,198,2,2239
84,1170,new-tx,1228,9,2320
84,4646,new-tx,788,2,4340
84,2248,new-tx,293,0,946
84,2257,new-tx,12897,11,4396
85,445,new-tx,282,41,238
85,2207,new-tx,193,11,3239
85,3623,new-tx,386,1,1295
85,1503,new-tx,337,4,1711
85,4284,new-tx,215,1,4196
86,1997,new-tx,471,1,2018
86,3692,new-tx,340,45,4550
86,1909,new-tx,690,1,1810
86,3850,new-tx,801,5,4436
86,5736,new-tx,616,11,1309
87,1896,new-tx,905,2,1882
87,543,new-tx,318,3,1764
87,4480,new-tx,7917,7,4317
87,730,new-tx,449,3,12
87,4566,new-tx,568,53,4727
88,1459,new-tx,234,5,1566
88,1443,new-tx,917,1,1720
88,2062,new-tx,469,6,1853
88,3695,new-tx,939,5,4559
88,281,new-tx,375,13,146
89,4008,new-tx,686,1,4090
89,4435,new-tx,826,9,5107
89,1527,new-tx,441,1,1613
89,2572,new-tx,7040,2,4025
89,1711,new-tx,562,66,1716
90,241,new-tx,347,2,1511
90,1708,new-tx,402,19,1480
90,5256,new-tx,422,1,1469
90,2995,new-tx,459,1,3055
90,1180,new-tx,713,6,1061
91,4,new-tx,247,1,36
91,3797,new-tx,278,3,3796
91,2185,new-tx,406,1,2184
91,4553,new-tx,6977,6,1952
91,5375,new-tx,8190,2,4170
92,4551,new-tx,505,11,4553
92,1980,new-tx,972,44,1295
92,92,new-tx,5255,1,17
92,5102,new-tx,377,65,5103
92,1981,new-tx,221,6,2936
93,2330,new-tx,233,4,3648
93,1325,new-tx,567,6,1336
93,4001,new-tx,378,26,3705
93,1522,new-tx,355,1,1338
93,4,new-tx,293,4,97
94,556,new-tx,234,23,428
94,1786,new-tx,974,18,2566
94,1117,new-tx,933,23,472
94,4156,new-tx,737,69,4072
94,1603,new-tx,660,3,1604
95,1249,new-tx,460,4,1231
95,1847,new-tx,371,14,1866
95,1576,new-tx,12194,53,1699
95,4524,new-tx,281,4,4532
95,1981,new-tx,1568,7,4
96,3545,new-tx,465,3,2577
96,5555,new-tx,863,0,3705
96,727,new-tx,2776,1,207
96,2572,new-tx,212,29,2744
96,1045,new-tx,1786,2,1069
97,3794,new-tx,2960,10,505
97,1309,new-tx,434,11,1510
97,2864,new-tx,1016,56,3134
97,2072,new-tx,1562,96,2800
97,3648,new-tx,662,1,3640
98,2110,new-tx,664,72,4147
98,2286,new-tx,242,1,3638
98,2013,new-tx,481,50,2056
98,4435,new-tx,4014,14,2552
98,1847,new-tx,7416,9,1939
99,4284,new-tx,803,1,4072
99,1538,new-tx,265,77,1786
99,3687,new-tx,284,1,4561
99,24,new-tx,380,13,2957
99,4,new-tx,4816,1,54
100,4072,new-tx,408,0,4029
100,451,new-tx,338,1,11
100,352,new-tx,378,6,53
100,1991,new-tx,231,2,5065
100,3273,new-tx,1900,2,1786
101,3892,new-tx,485,1,5212
101,55,new-tx,378,55,11
101,1786,new-tx,193,1,5268
101,1366,new-tx,4882,3,1295
101,2244,new-tx,1930,9,500
102,4559,new-tx,454,39,3794
102,2572,new-tx,448,3,3055
102,1716,new-tx,5701,1,1981
102,3741,new-tx,884,77,2828
102,1698,new-tx,420,53,1721
103,2350,new-tx,719,0,685
103,24,new-tx,7696,2,4590
103,1847,new-tx,237,6,1902
103,4388,new-tx,331,13,4527
103,4522,new-tx,1692,8,5745
104,321,new-tx,263,2,842
104,2934,new-tx,208,29,3361
104,4071,new-tx,858,6,4393
104,238,new-tx,817,10,4239
104,582,new-tx,343,1,1332
105,2118,new-tx,848,25,17
105,2098,new-tx,339,19,1295
105,4461,new-tx,217,5,1716
105,1847,new-tx,372,80,2469
105,2063,new-tx,202,2,3201
106,2914,new-tx,428,26,1538
106,435,new-tx,355,16,1025
106,3348,new-tx,685,39,4828
106,4170,new-tx,371,14,3642
106,2681,new-tx,732,3,2572
107,4495,new-tx,884,1,4720
107,946,new-tx,891,99,4283
107,4145,new-tx,476,88,3538
107,790,new-tx,409,1,316
107,1078,new-tx,283,64,728
108,3703,new-tx,940,8,3595
108,4090,new-tx,5648,50,3538
108,1247,new-tx,258,3,166
108,1981,new-tx,247,9,2032
108,1697,new-tx,367,4,1768
109,915,new-tx,445,16,782
109,4158,new-tx,7574,69,4159
109,4442,new-tx,1917,13,3348
109,1518,new-tx,308,10,1503
109,24,new-tx,204,15,2120
110,3892,new-tx,490,1,1
110,207,new-tx,196,1,727
110,3619,new-tx,290,98,5043
110,3654,new-tx,448,2,24
110,2572,new-tx,979,13,4018
111,4579,new-tx,478,11,3794
111,1459,new-tx,593,50,1756
111,3033,new-tx,454,0,4445
111,551,new-tx,330,2,518
111,666,new-tx,379,7,793
112,15,new-tx,407,1,11
112,4523,new-tx,733,55,4400
