slot,clientId,event,size,amount,recipients
0,36732,new-tx,1515,65,20822
0,49642,new-tx,508,53,94024
0,371,new-tx,352,50,4287
0,8646,new-tx,339,58,49949
0,4636,new-tx,424,48,133672
0,61538,new-tx,5437,25,2281
0,90297,new-tx,725,38,39296
0,37524,new-tx,1018,64,23623
0,61216,new-tx,768,44,78373
0,33531,new-tx,1022,62,9081
0,30090,new-tx,5014,32,22
0,74817,new-tx,621,52,54793
0,61044,new-tx,474,26,58617
0,61044,new-tx,479,58,16737
0,942,new-tx,328,74,45297
0,23887,new-tx,287,58,52848
0,113227,new-tx,221,49,93013
0,9339,new-tx,236,36,3192
0,40097,new-tx,1040,78,78871
0,103084,new-tx,457,43,5966
0,91879,new-tx,361,89,2183
0,90122,new-tx,864,40,95755
0,43911,new-tx,475,27,121204
1,8873,new-tx,207,60,5538
1,4529,new-tx,227,57,11457
1,95445,new-tx,501,59,3522
1,11420,new-tx,1357,58,134304
1,68788,new-tx,313,55,12090
1,24109,new-tx,5722,44,4734
1,34562,new-tx,273,43,4556
1,2116,new-tx,295,87,4756
1,109723,new-tx,429,45,72462
1,25894,new-tx,396,42,117662
1,48530,new-tx,873,32,23811
1,444,new-tx,421,56,116656
1,117801,new-tx,488,30,111490
1,37837,new-tx,3910,38,73168
1,8577,new-tx,609,61,61800
1,50383,new-tx,280,43,62709
1,7254,new-tx,481,31,61798
1,2200,new-tx,3978,41,6237
1,95469,new-tx,384,69,23258
1,88087,new-tx,979,37,5153
1,45983,new-tx,364,35,7856
1,38355,new-tx,199,49,67564
1,38910,new-tx,481,49,119
2,110681,new-tx,261,40,113594
2,8214,new-tx,464,41,42716
2,6947,new-tx,380,45,5969
2,133851,new-tx,465,58,71014
2,91832,new-tx,570,26,36061
2,10567,new-tx,408,30,4627
2,33531,new-tx,789,41,43966
2,72237,new-tx,1148,57,74987
2,8552,new-tx,759,58,85870
2,10655,new-tx,5209,52,78192
2,2523,new-tx,949,58,46664
2,50934,new-tx,300,46,3051
2,68459,new-tx,417,54,77852
2,9192,new-tx,916,42,38032
2,63342,new-tx,828,37,112715
2,15113,new-tx,430,41,65517
2,41285,new-tx,13808,42,58321
2,707,new-tx,381,33,62553
2,36603,new-tx,211,31,5869
2,65228,new-tx,381,59,73176
2,3106,new-tx,246,28,12
2,89115,new-tx,343,47,78817
2,6944,new-tx,360,73,104705
3,35041,new-tx,239,55,4028
3,85771,new-tx,331,33,3680
3,33799,new-tx,740,45,12678
3,87188,new-tx,860,28,149714
3,15117,new-tx,284,88,66709
3,14063,new-tx,6444,69,34414
3,97919,new-tx,1853,50,21291
3,4610,new-tx,626,32,70511
3,26179,new-tx,419,52,40717
3,48638,new-tx,1687,50,4424
3,78241,new-tx,267,57,107796
3,2315,new-tx,486,77,12117
3,11515,new-tx,456,75,1111
3,23391,new-tx,446,25,41263
3,31773,new-tx,465,87,83371
3,28405,new-tx,1015,32,87109
3,2978,new-tx,576,35,40814
3,14716,new-tx,194,44,88566
3,131039,new-tx,523,36,78039
3,77644,new-tx,345,48,99786
3,121249,new-tx,519,62,84078
3,5874,new-tx,8001,30,3298
3,39288,new-tx,231,42,7254
4,3959,new-tx,535,34,113745
4,120926,new-tx,11946,45,50017
4,69858,new-tx,973,70,62532
4,21059,new-tx,363,43,4786
4,35278,new-tx,987,79,10585
4,35284,new-tx,654,58,40727
4,20415,new-tx,390,55,20332
4,63141,new-tx,466,53,10999
4,64585,new-tx,611,54,5735
4,25650,new-tx,910,84,19203
4,8012,new-tx,16216,67,121633
4,79491,new-tx,388,54,4383
4,107632,new-tx,7641,44,29534
4,4787,new-tx,1060,69,76119
4,141555,new-tx,356,45,102707
4,488,new-tx,273,61,16918
4,74053,new-tx,470,57,4483
4,18837,new-tx,284,34,98378
4,68557,new-tx,399,34,16471
4,11532,new-tx,403,41,51810
4,48376,new-tx,266,59,75965
4,101156,new-tx,488,61,1331
4,80371,new-tx,727,55,4556
5,42218,new-tx,441,55,36050
5,40173,new-tx,10976,72,22862
5,98996,new-tx,484,45,36196
5,76001,new-tx,430,66,68576
5,71776,new-tx,766,57,46760
5,24721,new-tx,211,61,18329
5,92273,new-tx,976,47,4555
5,27992,new-tx,582,35,83916
5,87316,new-tx,10604,89,50987
5,24996,new-tx,332,65,31798
5,28656,new-tx,789,51,71067
5,6360,new-tx,231,41,4844
5,134090,new-tx,12573,51,4319
5,33291,new-tx,894,97,94927
5,135484,new-tx,406,55,112989
5,164658,new-tx,212,39,165929
5,18163,new-tx,676,84,6449
5,86584,new-tx,418,46,36050
5,30551,new-tx,11810,53,11333
5,22927,new-tx,380,54,21556
5,67241,new-tx,508,67,32368
5,70278,new-tx,294,43,83539
5,4784,new-tx,452,38,15304
6,61107,new-tx,428,43,8010
6,109256,new-tx,568,49,2014
6,90169,new-tx,428,59,31958
6,6634,new-tx,8091,46,35417
6,11585,new-tx,797,68,5884
6,133329,new-tx,835,53,56862
6,35163,new-tx,1440,31,5480
6,5891,new-tx,8097,45,11816
6,13461,new-tx,405,48,101268
6,34951,new-tx,345,38,102786
6,22518,new-tx,499,46,161984
6,113551,new-tx,668,54,114251
6,10647,new-tx,483,57,5938
6,54386,new-tx,281,57,155141
6,16652,new-tx,443,25,16537
6,66376,new-tx,412,61,112519
6,47049,new-tx,605,46,5834
6,90846,new-tx,648,54,100212
6,112950,new-tx,293,28,24797
6,56423,new-tx,553,59,5966
6,9917,new-tx,320,34,79013
6,4791,new-tx,9790,80,49303
6,62635,new-tx,504,58,14595
7,41739,new-tx,272,58,48746
7,3894,new-tx,308,76,41263
7,140153,new-tx,207,11,21170
7,16479,new-tx,303,63,11172
7,31627,new-tx,354,47,4678
7,116538,new-tx,469,62,121506
7,55671,new-tx,8198,63,5884
7,56390,new-tx,1389,42,49400
7,2537,new-tx,412,42,87132
7,113242,new-tx,1152,77,4352
7,27970,new-tx,7286,32,79918
7,26855,new-tx,10230,62,11493
7,877,new-tx,285,60,5469
7,8214,new-tx,5034,40,20179
7,98053,new-tx,1129,52,69686
7,48732,new-tx,227,26,39316
7,83249,new-tx,9347,49,26176
7,133647,new-tx,7493,70,33327
7,2018,new-tx,791,56,16626
7,110531,new-tx,548,93,48042
7,61083,new-tx,354,44,73473
7,33771,new-tx,671,54,154618
7,62947,new-tx,620,50,76147
8,106085,new-tx,219,63,29994
8,36314,new-tx,507,60,81707
8,92804,new-tx,926,48,30616
8,94791,new-tx,448,67,95201
8,2032,new-tx,785,38,28823
8,79031,new-tx,279,46,66938
8,11949,new-tx,225,30,8207
8,5438,new-tx,358,26,22377
8,129873,new-tx,300,51,48983
8,5341,new-tx,431,51,34984
8,23616,new-tx,962,31,79168
8,31455,new-tx,201,60,6904
8,84998,new-tx,437,42,40032
8,100438,new-tx,764,58,17724
8,87749,new-tx,231,63,102508
8,54509,new-tx,6540,41,55
8,66553,new-tx,504,95,18121
8,90122,new-tx,381,34,3973
8,88201,new-tx,4884,48,145856
8,87547,new-tx,511,59,109752
8,36179,new-tx,6541,64,123243
8,91893,new-tx,259,42,141559
8,61034,new-tx,6733,45,34123
9,4079,new-tx,492,53,19310
9,76605,new-tx,410,43,126665
9,88900,new-tx,376,35,90585
9,100921,new-tx,772,52,30291
9,18023,new-tx,306,57,26895
9,26611,new-tx,465,50,94016
9,102570,new-tx,472,27,102514
9,42746,new-tx,1023,41,89067
9,61325,new-tx,819,54,62515
9,109098,new-tx,482,55,51627
9,97927,new-tx,1424,46,23280
9,69649,new-tx,435,57,8646
9,51810,new-tx,7221,74,143137
9,123518,new-tx,370,71,3042
9,35847,new-tx,1272,63,16970
9,21945,new-tx,203,40,16204
9,58332,new-tx,410,60,35999
9,36497,new-tx,4937,47,5163
9,61231,new-tx,252,47,67893
9,55653,new-tx,283,41,54420
9,26043,new-tx,4787,50,2267
9,91788,new-tx,328,57,79871
9,4912,new-tx,2958,28,5451
10,72840,new-tx,478,28,153676
10,19299,new-tx,650,36,6503
10,74442,new-tx,616,46,90711
10,84358,new-tx,8197,43,63190
10,76733,new-tx,376,65,63924
10,85510,new-tx,304,31,11076
10,31,new-tx,202,42,38223
10,134226,new-tx,5617,57,93505
10,3082,new-tx,208,48,2028
10,71103,new-tx,358,41,136888
10,11512,new-tx,291,63,72936
10,52290,new-tx,351,52,48695
10,12791,new-tx,275,57,22431
10,5601,new-tx,321,49,99050
10,5357,new-tx,209,63,16834
10,89041,new-tx,237,54,13668
10,94791,new-tx,7578,63,92543
10,142679,new-tx,502,60,98057
10,13304,new-tx,7826,68,11485
10,118049,new-tx,8317,56,117625
10,115163,new-tx,746,53,30320
10,29885,new-tx,5000,44,11544
10,37080,new-tx,480,47,110411
11,62996,new-tx,5034,55,65585
11,6634,new-tx,480,39,3316
11,76091,new-tx,291,35,67765
11,3713,new-tx,2015,44,18242
11,41199,new-tx,421,52,4934
11,73291,new-tx,319,37,78355
11,15161,new-tx,517,67,50329
11,19295,new-tx,221,40,5445
11,101660,new-tx,11546,41,28148
11,40799,new-tx,466,42,41080
11,36041,new-tx,8006,53,1683
11,54123,new-tx,226,60,45406
11,35418,new-tx,848,48,42608
11,81834,new-tx,194,57,90923
11,128856,new-tx,258,53,115559
11,36790,new-tx,430,30,161280
11,64003,new-tx,468,54,15821
11,147153,new-tx,316,64,148961
11,53788,new-tx,473,41,45475
11,6343,new-tx,332,38,5916
11,3890,new-tx,867,67,11083
11,3526,new-tx,761,82,135942
11,74871,new-tx,698,45,11864
12,108210,new-tx,2203,46,80737
12,3533,new-tx,239,36,8673
12,13497,new-tx,460,49,63205
12,33730,new-tx,7839,54,29602
12,23673,new-tx,758,42,15214
12,39282,new-tx,4264,65,127505
12,140152,new-tx,374,66,80226
12,36005,new-tx,231,44,25751
12,199,new-tx,588,70,85560
12,33665,new-tx,605,44,46104
12,59049,new-tx,780,50,70240
12,5581,new-tx,489,69,64153
12,4827,new-tx,242,38,50020
12,8066,new-tx,250,69,254
12,122760,new-tx,360,48,39725
12,114858,new-tx,723,52,163807
12,19725,new-tx,511,55,16971
12,5582,new-tx,239,57,51049
12,112662,new-tx,6437,55,10419
12,32025,new-tx,7103,65,15115
12,1240,new-tx,6736,56,90846
12,67800,new-tx,804,62,71024
12,3407,new-tx,508,53,61109
13,3192,new-tx,375,44,14839
13,8832,new-tx,323,44,55
13,61586,new-tx,443,78,23871
13,29785,new-tx,9703,37,61022
13,76804,new-tx,365,82,84548
13,8267,new-tx,977,41,20476
13,115126,new-tx,1878,80,110730
13,31020,new-tx,810,55,52258
13,72211,new-tx,452,42,64300
13,39289,new-tx,986,52,28351
13,39965,new-tx,980,50,18513
13,18316,new-tx,953,53,13037
13,507,new-tx,295,36,124842
13,2153,new-tx,1018,60,8531
13,7856,new-tx,493,41,26685
13,15417,new-tx,860,44,79344
13,1859,new-tx,1468,67,89146
13,120908,new-tx,277,48,118137
13,89166,new-tx,1247,60,23497
13,98326,new-tx,316,79,149722
13,92069,new-tx,3993,77,140898
13,22923,new-tx,213,63,3667
13,67514,new-tx,258,53,5953
14,141918,new-tx,496,77,31588
14,9593,new-tx,220,49,10353
14,150889,new-tx,265,28,22643
14,94746,new-tx,985,44,29112
14,4756,new-tx,698,54,5079
14,122900,new-tx,465,59,5909
14,53607,new-tx,298,47,95577
14,129760,new-tx,462,49,65573
14,22668,new-tx,250,66,5831
14,50728,new-tx,206,46,97068
14,98910,new-tx,454,62,140791
14,21055,new-tx,531,61,31318
14,38281,new-tx,427,43,20791
14,27219,new-tx,288,49,35967
14,51235,new-tx,717,50,166359
14,99278,new-tx,597,42,15679
14,33454,new-tx,6640,54,157882
14,13412,new-tx,899,58,49229
14,59556,new-tx,415,64,29223
14,35909,new-tx,748,32,648
14,31595,new-tx,685,42,149788
