Id	Vendor/Payee	Date	Amount	Fund	Account	Department	Program
202007010053	American Express	01/21/2020	$1.08	Donor Restricted Funds	Bank Fees	Wood Utilization + Design Inst	Research
202007012450	American Express	01/21/2020	$22.60	Auxillary Funds	Bank Fees	University Housing	Auxillary Enterprises
202007011694	American Express	01/21/2020	$267.84	Auxillary Funds	Bank Fees	Parking Services	Auxillary Enterprises
202007011696	American Express	01/21/2020	$20.08	Auxillary Funds	Bank Fees	Spirit Support Groups	Auxillary Enterprises
202007013377	American Express	01/21/2020	$10,126.56	Auxillary Funds	Bank Fees	Ticket Office	Auxillary Enterprises
202007024699	American Express	01/21/2020	$66.85	Auxillary Funds	Bank Fees	Student Health Center	Student Services
202007024687	American Express	01/21/2020	$226.63	Auxillary Funds	Bank Fees	Food Services - Meal Plans	Auxillary Enterprises
202007013380	American Express	01/21/2020	$63.37	Auxillary Funds	Bank Fees	CCIT Customer Support Services	Auxillary Enterprises
202007013374	American Express	01/21/2020	$43.31	Auxillary Funds	Bank Fees	Business Services	Auxillary Enterprises
202007011695	American Express	01/21/2020	$3.23	Auxillary Funds	Bank Fees	Football Camp	Auxillary Enterprises
202007025839	American Express	01/21/2020	$95.89	Non-State Approp - Student Activities and Organizations	Bank Fees	Brooks Center	Instruction
202007024694	American Express	01/21/2020	$9.63	Non-State Approp - Student Activities and Organizations	Bank Fees	Student Organizations	Student Services
202007013379	American Express	01/21/2020	$6.45	Non-State Approp - Student Activities and Organizations	Bank Fees	School of Accountancy	Student Services
202007024696	American Express	01/21/2020	$14.31	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Office of Student Conduct	Student Services
202007024693	American Express	01/21/2020	$43.00	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	MBA Programs	Instruction
202007024695	American Express	01/21/2020	$72.37	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Student Transitions & Family	Student Services
202007025832	American Express	01/21/2020	$216.79	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	TigerOne Card Services	Student Services
202007025841	American Express	01/21/2020	$10.29	Non-State Approp - Departmentally Generated E&G Funds	Other Services	PRTM Outdoor Laboratory	Public Service
202007025838	American Express	01/21/2020	$1.27	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Clemson Light Imaging Facility	Research
202007010058	American Express	01/21/2020	$10.76	Non-State Approp - Departmentally Generated E&G Funds	Other Services	CCIT Customer Support Services	Academic Support
202007010052	American Express	01/21/2020	$9.68	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Sonoco Inst Pkg Design & Graph	Research
202007011699	American Express	01/21/2020	$130.23	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Youth Learning Institute	Public Service
202007010056	American Express	01/21/2020	$6.45	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Art	Instruction
202007010051	American Express	01/21/2020	$16.66	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Food, Nutrition & Package Sci	Instruction
202007013378	American Express	01/21/2020	$16.46	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	JFSC - Community Outreach	Public Service
202007010055	American Express	01/21/2020	$126.31	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	School of Architecture	Instruction
202007025848	American Express	01/21/2020	$27.03	Non-State Approp - Departmentally Generated E&G Funds	Other Services	Madren Center	Public Service
202007024692	American Express	01/21/2020	$4.09	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Center for Corporate Learning	Instruction
202007024690	American Express	01/21/2020	$0.82	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Osher Lifelong Learning Inst	Instruction
202007024691	American Express	01/21/2020	$96.75	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	COMSET	Instruction
202007025844	American Express	01/21/2020	$35.64	Non-State Approp - Departmentally Generated E&G Funds	Other Services	Campus Recreation	Student Services
202007025843	American Express	01/21/2020	$0.58	Non-State Approp - Departmentally Generated E&G Funds	Other Services	University Libraries	Academic Support
202007025842	American Express	01/21/2020	$1.45	Non-State Approp - Departmentally Generated E&G Funds	Other Services	PRTM Leisure Skills	Instruction
202007025840	American Express	01/21/2020	$86.00	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Education & Human Dev	Instruction
202007023636	American Express	01/21/2020	$12.34	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Business Services	Institutional Support
