slot,clientId,event,size,amount,recipients
0,5265,new-tx,755,1,12596
0,19105,new-tx,590,1,31840
0,1864,new-tx,484,3,91
0,21922,new-tx,1671,22,16285
0,1408,new-tx,422,1,9314
0,12,new-tx,10296,13,55
0,42534,new-tx,4677,64,15419
0,3661,new-tx,4590,15,8613
0,365,new-tx,205,79,384
0,9503,new-tx,272,5,17299
0,22377,new-tx,428,2,26458
1,5678,new-tx,800,0,5653
1,4140,new-tx,490,3,50744
1,34727,new-tx,1916,4,3342
1,30063,new-tx,464,50,30030
1,13473,new-tx,7458,1,4787
1,11602,new-tx,1342,27,11647
1,40718,new-tx,265,0,19713
1,62364,new-tx,328,44,21824
1,24361,new-tx,321,2,19718
1,10812,new-tx,244,4,10764
1,4414,new-tx,290,14,28478
2,10201,new-tx,365,1,10126
2,26028,new-tx,1243,18,26022
2,24176,new-tx,346,20,24166
2,36500,new-tx,280,40,140
2,11965,new-tx,455,80,11962
2,2998,new-tx,391,18,3037
2,10972,new-tx,8037,5,10966
2,5406,new-tx,1418,4,19342
2,152,new-tx,487,0,19702
2,17,new-tx,814,1,88
2,14203,new-tx,657,96,14196
3,19721,new-tx,804,1,19793
3,46972,new-tx,1006,2,618
3,8159,new-tx,343,1,8158
3,74965,new-tx,478,98,7951
3,58075,new-tx,6569,38,58146
3,10988,new-tx,828,6,11033
3,18978,new-tx,982,49,18977
3,2105,new-tx,291,50,1046
3,40300,new-tx,729,1,72272
3,2673,new-tx,447,4,2706
3,1303,new-tx,284,15,1337
4,73652,new-tx,415,37,16106
4,49337,new-tx,483,7,49317
4,13558,new-tx,249,11,13602
4,47040,new-tx,12159,70,47048
4,185,new-tx,194,9,2
4,36464,new-tx,7716,1,4368
4,15666,new-tx,500,14,9682
4,14340,new-tx,272,8,40376
4,747,new-tx,379,67,1697
4,52086,new-tx,897,4,52072
4,44778,new-tx,329,44,16340
5,3112,new-tx,455,73,41750
5,35887,new-tx,3384,7,36333
5,57391,new-tx,939,60,57381
5,8172,new-tx,1526,89,8206
5,16642,new-tx,12651,26,30095
5,32378,new-tx,540,2,14007
