slot,clientId,event,size,amount,recipients
0,8639,new-tx,10332,1,323
0,49438,new-tx,410,6,49375
0,27730,new-tx,389,50,27682
0,46713,new-tx,449,50,46747
0,881,new-tx,465,18,15666
0,24347,new-tx,644,43,88
0,10781,new-tx,330,10,17520
0,749,new-tx,244,50,29849
0,611,new-tx,773,1,8778
0,3675,new-tx,328,14,21650
0,4483,new-tx,8463,14,35872
0,15919,new-tx,460,41,69
0,84,new-tx,4159,9,83
0,65763,new-tx,524,0,65821
0,34447,new-tx,681,75,15769
0,8742,new-tx,506,5,8794
0,74343,new-tx,960,5,23585
0,47309,new-tx,269,1,47262
0,11758,new-tx,344,42,13022
0,7616,new-tx,724,58,1800
0,39671,new-tx,229,1,4438
0,51750,new-tx,848,3,51748
0,43892,new-tx,495,65,19730
0,27063,new-tx,792,6,22429
0,41367,new-tx,13126,1,4297
0,8453,new-tx,356,9,12733
0,49348,new-tx,1973,5,49372
0,13779,new-tx,378,36,59245
0,54643,new-tx,1077,3,54554
0,24334,new-tx,472,0,143
0,2004,new-tx,409,2,2102
0,3049,new-tx,15162,1,36001
0,20177,new-tx,202,1,4429
0,23173,new-tx,491,8,46
0,49280,new-tx,439,25,49415
0,61948,new-tx,586,11,61929
0,3904,new-tx,404,28,798
0,19536,new-tx,195,68,19511
0,14947,new-tx,875,2,9211
0,15176,new-tx,502,2,2582
0,69353,new-tx,1689,9,50404
0,17,new-tx,447,4,22332
0,31524,new-tx,278,6,31527
0,3656,new-tx,344,3,17408
0,18674,new-tx,295,8,18683
1,15799,new-tx,212,1,15789
1,27895,new-tx,409,33,4453
1,31505,new-tx,279,4,549
1,13564,new-tx,4277,5,13587
1,32082,new-tx,376,12,32107
1,9225,new-tx,1888,17,17874
1,9673,new-tx,627,7,35096
1,32196,new-tx,887,1,32073
1,66651,new-tx,1675,3,14362
1,31627,new-tx,463,2,31649
1,34719,new-tx,796,2,34771
1,24519,new-tx,202,56,32566
1,11521,new-tx,1284,1,6012
1,32960,new-tx,194,11,32940
1,48590,new-tx,366,8,48650
1,21467,new-tx,505,6,18863
1,22927,new-tx,202,2,548
1,9683,new-tx,238,2,3645
1,3657,new-tx,6245,19,437
1,22674,new-tx,925,14,74367
1,39704,new-tx,9357,3,15896
1,20183,new-tx,11868,3,35893
1,26926,new-tx,1412,1,26968
1,754,new-tx,248,2,10664
1,5739,new-tx,928,7,5666
1,28684,new-tx,481,89,7045
1,69817,new-tx,731,67,71546
1,65,new-tx,925,37,24366
1,57524,new-tx,303,22,57563
1,3702,new-tx,479,10,448
1,69660,new-tx,1846,23,69639
1,42135,new-tx,295,10,42198
1,5220,new-tx,484,2,5175
1,10175,new-tx,6728,94,684
1,67100,new-tx,636,8,15621
1,48023,new-tx,212,47,48045
1,58268,new-tx,1008,0,319
1,66767,new-tx,450,4,779
1,10123,new-tx,663,2,24551
1,2416,new-tx,3091,65,604
1,11630,new-tx,2774,0,11620
1,21021,new-tx,321,2,20994
1,11011,new-tx,5539,1,22770
1,67991,new-tx,222,5,5482
1,134,new-tx,4598,2,79
2,36836,new-tx,848,2,36870
2,3280,new-tx,238,53,3283
2,9200,new-tx,665,6,74300
2,11886,new-tx,907,32,13132
2,4483,new-tx,408,66,35893
2,20247,new-tx,254,39,1378
2,27441,new-tx,347,50,13381
2,51202,new-tx,284,68,1753
2,22210,new-tx,664,7,22178
2,18115,new-tx,402,13,18180
2,65,new-tx,2642,18,6
2,488,new-tx,629,9,9284
2,24220,new-tx,205,9,47702
2,13903,new-tx,823,9,15411
2,3407,new-tx,256,91,20772
2,72565,new-tx,513,15,72580
2,31967,new-tx,234,94,32021
2,15641,new-tx,508,20,3720
2,47531,new-tx,1422,2,47568
2,35100,new-tx,480,1,2701
2,65082,new-tx,276,0,65071
2,9270,new-tx,1741,22,555
2,10318,new-tx,1012,3,10184
2,31401,new-tx,805,7,6511
2,31558,new-tx,545,9,1304
2,978,new-tx,740,40,66750
2,16151,new-tx,689,1,16094
2,7961,new-tx,247,30,61583
2,21385,new-tx,721,7,21393
2,29105,new-tx,429,0,8608
2,72046,new-tx,1801,3,762
2,550,new-tx,308,4,18858
2,60120,new-tx,279,94,53016
2,30652,new-tx,647,12,19757
2,2616,new-tx,454,1,7683
2,9213,new-tx,423,4,16946
2,47391,new-tx,398,43,53526
2,6247,new-tx,458,2,49096
2,9769,new-tx,300,5,323
2,24719,new-tx,513,3,3667
2,39637,new-tx,407,19,27933
2,10922,new-tx,353,3,11063
2,60136,new-tx,373,3,23468
2,22776,new-tx,205,97,22834
2,107,new-tx,493,9,64
3,209,new-tx,397,10,56982
3,54924,new-tx,1868,46,11
3,1915,new-tx,1491,3,22335
3,5514,new-tx,1253,91,5559
3,24046,new-tx,1008,14,31359
3,10273,new-tx,444,20,10216
3,21202,new-tx,195,28,532
3,17499,new-tx,1509,0,13658
3,58471,new-tx,7981,99,58469
3,3933,new-tx,438,25,3912
3,50672,new-tx,3043,49,50663
3,7389,new-tx,213,7,7361
3,41162,new-tx,351,8,41240
3,1329,new-tx,890,14,3599
3,66937,new-tx,465,1,14859
3,42135,new-tx,199,2,38121
3,42632,new-tx,316,3,42652
3,75753,new-tx,2454,15,75817
3,15271,new-tx,451,94,3518
3,19446,new-tx,432,0,19540
3,35876,new-tx,2383,13,27859
3,22927,new-tx,699,17,438
3,8616,new-tx,289,54,8645
3,66617,new-tx,493,15,43951
3,29883,new-tx,872,1,11647
3,5473,new-tx,292,4,5437
3,24246,new-tx,675,40,5552
3,10431,new-tx,287,2,53492
3,9708,new-tx,879,20,10733
3,8882,new-tx,2302,25,1786
3,24012,new-tx,339,1,24018
3,29087,new-tx,280,1,29080
3,107,new-tx,352,32,19730
3,1436,new-tx,490,14,9700
3,16813,new-tx,301,21,16812
3,20254,new-tx,4744,4,20273
3,24578,new-tx,651,6,24554
3,5960,new-tx,6901,36,11433
3,3758,new-tx,460,11,1734
3,56625,new-tx,2017,39,54419
3,62363,new-tx,2141,1,2494
3,1370,new-tx,247,3,59631
3,19,new-tx,379,6,19712
3,43988,new-tx,269,17,28540
3,10211,new-tx,379,93,10270
4,2673,new-tx,1324,16,3671
4,24522,new-tx,231,19,5807
4,2,new-tx,954,17,10
4,14826,new-tx,419,2,14737
4,72337,new-tx,7726,26,4641
4,3925,new-tx,345,0,3918
4,75192,new-tx,466,1,72253
4,3702,new-tx,937,13,3643
4,13437,new-tx,1608,77,13454
4,3933,new-tx,4523,2,1698
4,20181,new-tx,667,11,22378
4,3910,new-tx,928,2,3908
4,479,new-tx,1325,0,621
4,21371,new-tx,626,1,21367
4,3772,new-tx,343,6,57679
4,9768,new-tx,334,1,24688
4,7348,new-tx,451,3,1606
4,41781,new-tx,203,32,41806
4,8260,new-tx,627,94,3312
4,38545,new-tx,347,4,38562
4,27078,new-tx,275,98,48
4,38489,new-tx,437,4,5674
4,5693,new-tx,251,32,5675
4,10426,new-tx,309,2,1336
4,39890,new-tx,1065,34,39869
4,43531,new-tx,758,6,41165
4,41866,new-tx,872,9,91
4,20166,new-tx,307,11,4438
4,23180,new-tx,488,38,90
4,17613,new-tx,193,94,17437
4,35594,new-tx,357,67,35539
4,74205,new-tx,417,3,3887
4,4861,new-tx,440,6,4913
4,40481,new-tx,499,2,19712
4,56730,new-tx,1305,81,56773
4,9682,new-tx,488,13,9717
4,71619,new-tx,312,0,71652
4,1529,new-tx,780,19,16948
4,2038,new-tx,271,26,14734
4,25,new-tx,344,0,157
